id,text,timestamp
1,"I love this product, it's amazing!",0
2,The movie was fantastic and very moving.,0
3,What a wonderful experience!,0
4,Absolutely loved the atmosphere.,0
5,The service was excellent and prompt.,0
6,I'm extremely satisfied with my purchase.,0
7,Highly recommend to everyone.,0
8,The staff was friendly and helpful.,0
9,One of the best decisions I've made.,0
10,Totally worth the money.,0
11,Great quality and beautiful design.,0
12,A perfect fit for my needs.,0
13,Exceeded my expectations.,0
14,I'm so happy with the results.,0
15,Top-notch customer service.,0
16,"Brilliant work, keep it up!",0
17,Fast delivery and great packaging.,0
18,Loved the way it was handled.,0
19,The taste was absolutely divine.,0
20,Very comfortable and easy to use.,0
21,Best experience ever!,0
22,Couldn't be more pleased.,0
23,Superb performance!,0
24,Great attention to detail.,0
25,A delightful surprise.,0
26,Five stars without a doubt.,0
27,Beautiful and functional.,0
28,Makes my life so much easier.,0
29,I enjoy using it every day.,0
30,Really glad I chose this one.,0
31,Perfect in every way.,0
32,It just works flawlessly.,0
33,The quality speaks for itself.,0
34,Warm and welcoming experience.,0
35,I am impressed with the results.,0
36,Everything I hoped for and more.,0
37,They really went above and beyond.,0
38,It has changed my life.,0
39,The best I've ever had.,0
40,I'm in love with it.,0
41,Great features and performance.,0
42,So intuitive and easy to use.,0
43,I would definitely buy again.,0
44,Everyone should try it!,0
45,Hands down the best choice.,0
46,Extremely happy with the outcome.,0
47,Smooth and reliable operation.,0
48,I am totally hooked.,0
49,So much better than I expected.,0
50,My favorite so far.,0
51,"I hate this product, it's terrible.",0
52,The movie was boring and predictable.,0
53,What a disappointing experience.,0
54,Absolutely hated the atmosphere.,0
55,The service was awful and slow.,0
56,I'm extremely unhappy with my purchase.,0
57,Would not recommend to anyone.,0
58,The staff was rude and unhelpful.,0
59,One of the worst decisions I've made.,0
60,Totally not worth the money.,0
61,Poor quality and ugly design.,0
62,Doesn't fit my needs at all.,0
63,Fell short of expectations.,0
64,I'm so frustrated with the results.,0
65,Terrible customer service.,0
66,"Awful work, very disappointing.",0
67,Slow delivery and damaged packaging.,0
68,Hated the way it was handled.,0
69,The taste was disgusting.,0
70,Very uncomfortable and hard to use.,0
71,Worst experience ever!,0
72,Couldn't be more dissatisfied.,0
73,Terrible performance!,0
74,No attention to detail.,0
75,A total disappointment.,0
76,"One star, very dissatisfied.",0
77,Ugly and impractical.,0
78,Makes my life harder.,0
79,I regret using it every day.,0
80,Really wish I chose another one.,0
81,Terrible in every way.,0
82,It just doesn't work.,0
83,The quality is awful.,0
84,Cold and unfriendly experience.,0
85,I am disappointed with the results.,0
86,Nothing like what I hoped for.,0
87,They really let me down.,0
88,It has made things worse.,0
89,The worst I've ever had.,0
90,I can't stand it.,0
91,Poor features and weak performance.,0
92,So confusing and hard to use.,0
93,I would never buy this again.,0
94,No one should try this!,0
95,Definitely the wrong choice.,0
96,Extremely unhappy with the outcome.,0
97,Unstable and unreliable.,0
98,I am totally done with it.,0
99,Much worse than I expected.,0
100,My least favorite so far.,0
